entity_id,entity_label,relation_id,relation_label,inverse,question,answer_id,entity_start,entity_end
Q222052,center,R413,position played on team / speciality,True,what former basketball played the center (basketball) position,Q780630,5,5
Q1219013,thunderbolt and lightfoot,P58,screenwriter,False,Who wrote the film thunderbolt and lightfoot,Q59129,4,6
Q6249503,john morris russell,P19,place of birth,False,where in the united states was john morris russell born,Q37320,6,8
Q2023740,imam mustafayev,P21,sex or gender,False,what is imam mustafayev gender,Q6581097,2,3
Q10280325,fausto fawcett,P21,sex or gender,False,what is fausto fawcett gender,Q6581097,2,3
Q154194,generation kill,P136,genre,False,what type of film is generation kill,Q130232,5,6
Q1075868,chokoloskee,P131,located in the administrative territorial entity,False,"What county has jurisdiction over chokoloskee, florida",Q488531,5,5
Q6221698,john berry,P27,country of citizenship,False,which country is john berry from,Q30,3,4
Q13636457,home,P136,genre,False,What kind of book is home,Q8261,5,5
Q5174096,cosmic ray,P495,country of origin,False,what country is cosmic ray from,Q30,3,4
Q29172,zou department,P150,contains the administrative territorial entity,False,what is the administrative child of zou,Q2356092,2,3
Q4707525,alan pierson,P21,sex or gender,False,What is Alan Pierson gender,Q6581097,2,3
Q66832,franz roh,P27,country of citizenship,False,What was the nationality of  franz roh,Q183,5,6
Q336167,huron county,R131,located in the administrative territorial entity,True,what is a city located in huron county,Q2673168,6,7
Q93204,documentary film,R136,genre,True,What is an example of a documentary film,Q627346,6,7
Q580,łódź,R19,place of birth,True,What actor was born in lodz,Q11724789,5,5
Q1090769,8668 satomimura,P196,minor planet group,False,what member of asteroid group is 8668 satomimura a part of,Q2179,6,7
Q5363152,elizabeth malecki,P21,sex or gender,False,What gender is elizabeth malecki,Q6581072,3,4
Q974466,james gillespie,P119,place of burial,False,where was  james gillespie buried,Q2892262,2,3
Q1342,pittsburgh,R19,place of birth,True,who was born in pittsburgh,Q458652,4,4
Q17361420,lanie balcom,P21,sex or gender,False,lannie balcom self-identifies as which gender,Q6581072,0,1
Q7351133,robert williams,P413,position played on team / speciality,False,which position does robert williams play in american football,Q622747,3,4
Q6607,guitar,R1303,instrument,True,who is an instrumentalist that plays the guitar,Q238795,7,7
Q7723204,the city in the autumn stars,P50,author,False,Who wrote the book the city in the autumn stars,Q316138,2,9
Q193752,john of gaunt,R40,child,True,"Who was a parent of john of gaunt, 1st duke of lancaster",Q229279,5,7
Q5106113,chris cash,P27,country of citizenship,False,chris cash is what nationality,Q30,0,1
Q2377261,the law is the law,P364,original language of film or TV show,False,in what language is the the law is the law film spoken,Q652,4,6
Q718562,6945 dahlgren,P61,discoverer or inventor,False,who discovered 6945 dahlgren,Q470164,2,3
Q5497332,frederick baldwin adams,P27,country of citizenship,False,Where is frederick baldwin adams from,Q30,2,4
Q133032,hungarians,R172,ethnic group,True,Who a hungarian model,Q433481,2,2
Q16223459,joshua smith,P21,sex or gender,False,what is joshua smith gender,Q6581097,2,3
Q7294392,rapture ruckus,P264,record label,False,What label is rapture ruckus  signed to,Q4835417,3,4
Q3728410,rob schmidt,R57,director,True,Which film did rob schmidt direct,Q3002606,3,4
Q13156,montilla,R19,place of birth,True,Name a person born in montilla,Q5948569,5,5
Q724154,mr. hankey's christmas classics,P57,director,False,who was the director of mr. hankey christmas classics,Q44414,5,8
Q98643,ottilie assing,P27,country of citizenship,False,Where is ottilie assing from,Q183,2,3
Q189059,mytilene,R19,place of birth,True,Name someone who was born in mytilene,Q7130147,6,6
Q130232,drama film,R136,genre,True,what is a film in the genre drama,Q3210540,7,3
Q7194357,pilot,P179,part of the series,False,Which series has a pilot episode,Q1477859,4,4
Q200092,horror film,R136,genre,True,what is a horror film,Q7557462,3,4
Q7605291,stealing a nation,P495,country of origin,False,what country does the film stealing a nation take place in,Q145,5,7
Q5042233,carlos johnson,P136,genre,False,which type of music genre does carlos johnson play in,Q9759,6,7
Q786545,thomas sully,P19,place of birth,False,Which town was thomas sully born,Q1628403,3,4
Q3194914,kelly shoppach,P413,position played on team / speciality,False,What position does kelly shoppach play in baseball,Q1050571,3,4
Q568123,dracula,P136,genre,False,what kind of movie is dracula,Q1054574,5,5
Q82955,politician,R106,occupation,True,"what is politician is founder and chairperson of Queens University, Bangladesh",Q5644676,2,2
Q18648361,film life goes on,P364,original language of film or TV show,False,What language is spoken in the film life goes on,Q9176,6,9
Q312782,bob woodward,R40,child,True,who is the parent of bob woodward,Q4722601,5,6
Q2422991,knight lore,P136,genre,False,what kind of game is knight lore,Q828322,5,6
Q269585,gregory la cava,R57,director,True,what film does gregory la cava direct,Q2374805,3,5
Q2662148,celtic rock,R136,genre,True,what artist makes celtic rock,Q1424576,3,4
Q2883930,barbara cook,P19,place of birth,False,What is the place of barbara cook birth,Q23556,5,6
Q4346512,claire stansfield,P27,country of citizenship,False,What is Claire Stansfield nationality,Q145,2,3
Q124112,michel simon,P509,cause of death,False,What was the cause of death of michel simon,Q220570,7,8
Q41548,antonio banderas,P27,country of citizenship,False,What is the nationality of antonio banderas,Q29,5,6
Q2577628,willy wild,P27,country of citizenship,False,which country is willi wild from,Q183,3,4
Q598834,criciúma esporte clube,P641,sport,False,What sport is criciuma esporte clube a part of,Q2736,3,5
Q4680824,adario strange,P21,sex or gender,False,is adario strange male or female,Q6581097,1,2
Q559514,wittlich,R19,place of birth,True,Who is someone born in wittlich,Q443276,5,5
Q12214,smallpox,R509,cause of death,True,which historical figure was killed by smallpox,Q2058648,6,6
Q7091435,on the nickel,P136,genre,False,what genre is the film on the nickel,Q130232,5,7
Q104994,los angeles county,R131,located in the administrative territorial entity,True,"What is the name of a place located in los angeles county, california",Q2463913,9,11
Q3294052,mark difelice,P413,position played on team / speciality,False,What is mark difelice position,Q1198553,2,3
Q428672,shmuel salant,P19,place of birth,False,which city was shmuel salant born,Q761,3,4
Q7637680,summertide,P50,author,False,who authored summertide,Q943997,2,2
Q7365833,ronnie burns,P20,place of death,False,Which city did ronnie burns die in,Q1370207,3,4
Q13582652,civil engineer,R106,occupation,True,Name an english civil engineer,Q133614,3,4
Q503538,towns county,P138,named after,False,Who was towns county named after,Q1508471,2,3
Q8058931,your show time,P495,country of origin,False,where did the tv program your show time originate from,Q30,5,7
Q766445,okinawa prefecture,R19,place of birth,True,what woman was born in okinawa prefecture,Q618117,5,6
Q6656486,live at tin angel,P175,performer,False,Who is the album live at tin angel by,Q3978236,4,7
Q4308215,john moores,P21,sex or gender,False,What is john moores gender,Q6581097,2,3
Q4729974,all for a girl,P136,genre,False,What type of film is all for a girl,Q1054574,5,8
Q956355,diamond,R19,place of birth,True,Who was born in diamond,Q7152537,4,4
Q910695,march or die,P136,genre,False,What type of film is march or die,Q369747,5,7
Q3519134,masada: tet,P136,genre,False,Where kind of album is tet,Q8341,2,3
Q5389642,erkan sulejmani,P413,position played on team / speciality,False,What position does footballer erkan sulejmani play,Q193592,4,5
Q153868,4384 henrybuhl,P397,parent astronomical body,False,what does (4384) 1990 aa orbit around,Q525,0,1
Q1213408,péter müller,P21,sex or gender,False,What is the sex of peter muller,Q6581097,5,6
Q15486802,david kirby,P27,country of citizenship,False,What was the nationality of david kirby,Q30,5,6
Q1572362,it was the best of times,P175,performer,False,who is the singer of it was the best of times,Q176457,5,10
Q3282054,malik asselah,P413,position played on team / speciality,False,what is malik asselah position in soccer,Q201330,2,3
Q7175853,peter menzies,R344,director of photography,True,what film did peter menzies jr. do cinematography for,Q1354617,3,4
Q7328528,richard pryor: live on the sunset strip,P364,original language of film or TV show,False,what language is richard pryor: live on the sunset strip in,Q1860,3,9
Q4790844,aris t. allen,P27,country of citizenship,False,What country is aris t. allen from,Q30,3,5
Q1893261,marcell takács,P413,position played on team / speciality,False,what position does marcell takacs play in soccer,Q280658,3,4
Q1041909,carlo boszhard,P21,sex or gender,False,What is carlo boszhard gender,Q6581097,2,3
Q36180,writer,R106,occupation,True,what British science fiction author and writer specializes in dark hard science fiction and space opera,Q380869,6,6
Q1292432,terry carr,R50,author,True,what is one of terry carrs written works,Q7894207,4,5
Q65,los angeles,R19,place of birth,True,Which famous cinematographer was born in los angeles,Q715198,6,7
Q583470,steve walsh,P27,country of citizenship,False,What is steve walsh nationality,Q30,2,3
Q76579,georgius agricola,P27,country of citizenship,False,what is the nationality of georgius agricola,Q183,5,6
Q7820891,tonet,P19,place of birth,False,in what country was tonet born,Q1492,4,4
Q7091297,on the beat!,P136,genre,False,what kind of music is on on the beat!,Q42201,5,8
Q401383,ahmed marcouch,P106,occupation,False,What is Ahmed Marcouch profession,Q82955,2,3
Q7328281,richard parnell habersham,P106,occupation,False,what is the profession of richard parnell habersham,Q33999,5,7
Q7743116,the jerky boys: the movie,P272,production company,False,WHich production company did the jerky boys: the movie,Q497155,4,8
Q1645442,portlandia,P364,original language of film or TV show,False,what language is portlandia written in,Q1860,3,3
Q3038,heligoland,R19,place of birth,True,who is  a person that was born in  heligoland,Q99278,8,8
Q35765,osaka,R19,place of birth,True,what musician was born in osaka,Q2246461,5,5
Q2964743,chris hume,P106,occupation,False,What is the profession of chris hume,Q2526255,5,6
Q3544737,victor basa,P19,place of birth,False,Where was victor basa born,Q1475,2,3
Q3244733,hayato yano,P413,position played on team / speciality,False,what position did hayato yano play,Q280658,3,4
Q281404,kevin mccarthy,P20,place of death,False,Where was kevin mccarthy (actor) place of death,Q1015021,2,3
Q550265,3469 bulgakov,P397,parent astronomical body,False,what star does  3469 bulgakov orbit,Q525,3,4
Q3569503,withlacoochee river,P403,mouth of the watercourse,False,What is at the mouth of the withlacoochee river,Q12630,7,8
Q146143,1933 tinchen,P31,instance of,False,what type of celestial object is 1933 tinchen,Q3863,6,7
Q74939,kurt bolender,P20,place of death,False,Where did kurt bolender pass away,Q2871,2,3
Q7377158,rudolf brehmer,P607,conflict,False,in which conflict did rudolf brehmer participate,Q362,4,5
Q1052054,cayucos,P131,located in the administrative territorial entity,False,which county does cayucos belong to,Q49014,3,3
Q4315933,darwan singh negi,P607,conflict,False,What war did darwan singh negi participate in,Q361,3,5
Q11093,valerie solanas,P20,place of death,False,where did valerie solanas pass away,Q62,2,3
Q7049742,noon at ngayon: pagsasamang kay ganda,P495,country of origin,False,WHich nation filmed then and now,Q928,1,4
Q55408,hrishikesh mukherjee,R57,director,True,what the title of a hrishikesh mukherjee film,Q3420037,5,6
Q4126954,enemies closer,P364,original language of film or TV show,False,what is the language of the film enemies closeri,Q1860,7,8
Q390779,arabella,P407,language of work or name,False,what language is arabella in,Q188,3,3
Q3479672,sergio myers,P19,place of birth,False,What is Sergio Myers' place of birth,Q47716,2,3
Q83440,country music,R136,genre,True,What a country album by johnny cash,Q245964,2,3
Q12078,cancer,R509,cause of death,True,which johnny died from cancer,Q6266617,4,4
Q2623036,13792 kuščynskyj,P31,instance of,False,What kind of celestial body is 13792 kuscynskyj,Q3863,6,7
Q603075,"prince alfonso de bourbon, duke of cádiz",P140,religion or worldview,False,"which religion is alfonso, duke of anjou and cadiz",Q9592,2,8
Q749047,haruki kadokawa,R162,producer,True,what is a movie produced by haruki kadokawa,Q5432046,6,7
Q4764669,anil sharma,R162,producer,True,what film did anil sharma produce,Q2820106,3,4
Q5002178,buster rhymes,P19,place of birth,False,What city was buster rhymes born in,Q8652,3,4
Q14950673,joe cusack,P21,sex or gender,False,what joe cusack gender,Q6581097,1,2
Q2415347,deadly blessing,P495,country of origin,False,what country is deadly blessing from,Q30,3,4
Q1171556,cradle will rock,P344,director of photography,False,who did the cinematography for the film cradle will rock,Q1685306,7,9
Q510397,sandro puppo,P21,sex or gender,False,is sandro puppo male or female,Q6581097,1,2
Q41323,american football,R641,sport,True,Name an american football sports team,Q7391404,2,3
Q39829,stephen king,R58,screenwriter,True,What television series is an adaptation of a novel by stephen king,Q1752538,10,11
Q1007,guinea-bissau,P421,located in time zone,False,which time zone is guinea-bissau in,Q6574,4,4
Q262802,christine sinclair,P19,place of birth,False,Where in canada was christine sinclair born,Q244025,4,5
Q4661277,aaina,P57,director,False,who directed aaina,Q3520369,2,2
Q3710055,sergey yablonsky,P20,place of death,False,which city did sergey yablonsky die,Q649,3,4
Q3434241,rob townsend,P136,genre,False,What kind of music is rob townsend,Q11399,5,6
Q208850,single-player video game,R404,game mode,True,Name a single-player video game,Q6363932,2,4
Q678437,montclair,R19,place of birth,True,who was born in montclair,Q322766,4,4
Q3794894,the monster that challenged the world,P136,genre,False,which genre does the film the monster that challenged the world belong to,Q200092,3,10
Q860750,racing video game,R136,genre,True,What is an example of a racing game,Q3046150,6,7
Q822413,bernard fanning,P264,record label,False,who is bernard fanning signed with,Q3307668,2,3
Q13595311,joel coen,R58,screenwriter,True,What is a film that was written by joel coen,Q237222,8,9
Q809118,barry zito,P413,position played on team / speciality,False,What position does barry zito play,Q1048902,3,4
Q504463,jan svěrák,P172,ethnic group,False,What is jan sverak ethnicity,Q170217,2,3
Q1333364,michael baigent,R50,author,True,what did michael baigent write,Q3848848,2,3
Q167986,in trance,P136,genre,False,what is the genre of the album in trance,Q38848,7,8
Q2274654,gremlin interactive,R178,developer,True,What is a game developed by gremlin interactive,Q7830768,6,7
Q2903678,william mccutcheon,P19,place of birth,False,where was  william mccutcheon born,Q23051,2,3
Q20438283,mónika veres,P27,country of citizenship,False,Where is monika veres from,Q28,2,3
Q83440,country music,R136,genre,True,what are american country music bands,Q7748756,3,4
Q1050571,catcher,R413,position played on team / speciality,True,what right handed baseball player was the braves' catcher,Q4933822,8,8
Q7993791,whirl tour,P136,genre,False,whirl tour is what type of video game,Q868217,0,1
Q335080,makoto shinkai,R57,director,True,which film was  makoto shinkai the director of,Q6434185,3,4
Q37333,lublin,R19,place of birth,True,Who is an individual that was born in lublin,Q6843579,8,8
Q1792258,kuno popp,P20,place of death,False,where did kuno popp die,Q84,2,3
Q315540,"archibald wavell, 1st earl wavell",P607,conflict,False,"which military conflict did archibald wavell, 1st earl wavell participate in",Q727536,4,8
Q3505570,susan herndon,P21,sex or gender,False,What is the gender of susan herndon,Q6581072,5,6
Q3212804,the seventh target,P136,genre,False,What style of film is the seventh target,Q130232,5,7
Q732474,harvey kurtzman,P27,country of citizenship,False,which country is harvey kurtzman from,Q30,3,4
Q14759972,the enemy inside,P86,composer,False,who wrote the enemy inside,Q296039,2,4
Q1230723,louis-gabriel-charles vicaire,P20,place of death,False,what city was louis-gabriel-charles vicaire born,Q90,3,4
Q25089,woody allen,R57,director,True,what is one of woody allen many films,Q682262,4,5
Q41621,haifa,R19,place of birth,True,who was born in haifa,Q6893050,4,4
Q15712790,angelica di silvestri,P27,country of citizenship,False,which country is angelica morrone di silvestri from,Q38,3,6
Q941023,eastern time zone,R421,located in time zone,True,what the name of a town in the eastern daylight time zone,Q29838,8,11
Q19204627,american football player,R106,occupation,True,Who is a famous american football player playing cornerback,Q5295193,4,6
Q147921,bitter rice,P495,country of origin,False,where was the film bitter rice located,Q38,4,5
Q6390251,kenneth j. warren,P20,place of death,False,where did kenneth j. warren die,Q992190,2,4
Q740516,conan the destroyer,P136,genre,False,what is the genre of the film conan the destroyer,Q188473,7,9
Q1363729,kumi naidoo,P21,sex or gender,False,what is the sex of kumi naidoo,Q6581097,5,6
Q16252651,the lone wolf keeps a date,P364,original language of film or TV show,False,what language is spoken in the lone wolf keeps a date,Q1860,5,10
Q6895044,multiplayer video game,R404,game mode,True,what a 2004 game that had a multiplayer program,Q5158104,7,3
Q668352,calling all cars!,P123,publisher,False,Who is the publisher on the videogame calling all cars!,Q18594,7,9
Q7381049,ruslan sviridov,P27,country of citizenship,False,what country is ruslan sviridov from,Q159,3,4
Q765783,hd 157819,P59,constellation,False,what constellation is hd 157819 in,Q9253,3,4
Q2756904,yogi's great escape,P495,country of origin,False,which country in north america is the movie yogi great escape from,Q30,8,10
Q7760093,the rejected woman,P495,country of origin,False,what country made the film  the rejected woman,Q30,3,7
Q6390721,kenneth stover,P264,record label,False,Which label is kenneth stover on,Q43327,3,4
Q6115262,jack soo,P20,place of death,False,where did jack soo die,Q65,2,3
Q1325288,oeyo,P40,child,False,who is the son of oeyo,Q314481,5,5
Q696557,bombing of darwin,P276,location,False,Where did the bombing of darwin take place,Q11568,3,5
Q16832088,vidhya unni,P21,sex or gender,False,Is vidhya unni a woman or man,Q6581072,1,2
Q716373,phil joanou,R57,director,True,Name a film directed by phil joanou,Q1636538,5,6
Q2965249,christian fabrice okoua,P19,place of birth,False,where was christian fabrice okoua born,Q1008,2,4
Q7435072,the clergyman,P364,original language of film or TV show,False,what language is the clergyman available in,Q9027,3,4
Q149305,2503 liaoning,P397,parent astronomical body,False,around which celestial body does the 2503 liaoning asteroid moves around,Q525,6,7
Q170270,friedrich kalkbrenner,P106,occupation,False,What is the profession of friedrich kalkbrenner,Q486748,5,6
Q10956161,door ki awaaz,P86,composer,False,whose music is in the film door ki awaaz,Q3595650,6,8
Q2702192,disney universe,P178,developer,False,who developed disney universe,Q2411797,2,3
Q3616,tehran,R19,place of birth,True,what the name of a person born in tehran,Q5958009,8,8
Q3546604,telefilm canada,R272,production company,True,what movie is produced by telefilm canada,Q839133,5,6
Q1474376,phenomena,P364,original language of film or TV show,False,Which european language is phenomena filmed in,Q652,4,4
Q16252588,once upon a time,P495,country of origin,False,which country released the movie once upon a time,Q668,5,8
Q2325234,the tower of lies,P136,genre,False,what a good descriptor of the tower of lies,Q226730,5,8
Q2701232,ken jay,P21,sex or gender,False,what gender is ken jay,Q6581097,3,4
Q49451,progressive rock,R136,genre,True,what is a progressive rock artist,Q636,3,4
Q3012576,the saphead,P136,genre,False,what genre is the saphead on netflix,Q226730,3,4
Q152232,womanlight,P136,genre,False,what genre of film is womanlight,Q130232,5,5
Q1644143,johan thorbjørnsen,P413,position played on team / speciality,False,What football position does johan thorbjornsen fill,Q201330,4,5
Q4303000,oleg morozov,P27,country of citizenship,False,what country gives oleg morozov his or her nationality,Q159,3,4
Q275314,geraldine brooks,P509,cause of death,False,why did  geraldine brooks die,Q12078,2,3
Q3718981,edelmiro arévalo,P413,position played on team / speciality,False,What football position does edelmiro arevalo play,Q336286,4,5
Q3499871,damir kreilach,P413,position played on team / speciality,False,what position does damir kreilach play in football,Q193592,3,4
Q7143125,pasumpon,P364,original language of film or TV show,False,in what language is the film pasumpon in,Q5885,6,6
Q6077027,pituka de foronda,P21,sex or gender,False,is  pituka de foronda male or female,Q6581072,1,3
Q150169,fire emblem: the sacred stones,P179,part of the series,False,what videogame series is fire emblem: the sacred stones from,Q1768977,4,8
Q5542135,george mardikian,P20,place of death,False,Where did george mardikian die,Q62,2,3
Q7747,vladimir putin,P737,influenced by,False,Who influenced Vladimir Putin,Q1282198,2,3
Q483412,the chronicles of narnia,R179,part of the series,True,What a book from the the chronicles of narnia,Q331656,4,8
Q7202044,plastic crimewave,P264,record label,False,what label is the artist  plastic crimewave from,Q1254522,5,6
Q508225,thom fitzgerald,R58,screenwriter,True,What is a film written by thom fitzgerald,Q229636,6,7
Q239371,ai fukuhara,P27,country of citizenship,False,ai fukuhara is a citizen of what nation,Q17,0,1
Q193,saturn,P398,child astronomical body,False,which satellite was most recently discovered orbiting saturn,Q18220,7,7
Q1424273,if i were a rich man,P495,country of origin,False,which country was if i were a rich man filmed in,Q142,3,8
Q754474,rec,P136,genre,False,what genre does netflix think rec is,Q200092,5,5
Q220,rome,R19,place of birth,True,Name a person born in rome.,Q4861321,5,5
Q5235209,david hudson,P27,country of citizenship,False,what is the nationality of david hudson,Q30,5,6
Q4860673,bari koral,P27,country of citizenship,False,what is bari koral nationality,Q30,2,3
Q7640082,sung hwan kim,P21,sex or gender,False,what is sung hwan kim gender,Q6581097,2,4
Q573159,anthony dowell,P21,sex or gender,False,what is anthony dowell gender,Q6581097,2,3
Q7857891,twice the speed of life,P136,genre,False,what kind of album is twice the speed of life,Q83440,5,9
Q5610650,grosvenor park productions,R272,production company,True,what is a film produced by grosvenor park productions,Q1437261,6,8
Q936976,henry iv of france,P40,child,False,who were the children of henry iv of france,Q848615,5,8
Q7775275,the witch affair,P495,country of origin,False,What country is the witch affair from,Q29,3,5
Q7512494,sigmund livingston,P140,religion or worldview,False,what religion does sigmund livingston follow,Q9268,3,4
Q2355741,port salerno,P131,located in the administrative territorial entity,False,where is port salerno in,Q648752,2,3
Q7718709,the blow,P264,record label,False,What label is the blow signed to,Q3080929,3,4
Q765041,henry tazewell,P21,sex or gender,False,What gender is henry tazewell,Q6581097,3,4
Q49451,progressive rock,R136,genre,True,which artist performs progressive rock,Q1748178,3,4
Q11725,chongqing,P17,country,False,what country is the city chongqing in,Q148,5,5
Q1483675,(9129) 1998 hu144,P196,minor planet group,False,where is (9129) 1998 hu144 located,Q2179,2,4
Q7341161,"robert ""bucket"" hingley",P106,occupation,False,"which profession does robert \\""bucket\\"" hingley belong to",Q177220,3,5
Q7505974,shyamaprasad,P27,country of citizenship,False,what nationality is shyamaprasad,Q668,3,3
Q2211168,sadik hakim,P19,place of birth,False,where was sadik hakim born,Q485708,2,3
Q34316,doctor who,R179,part of the series,True,what type of episode is doctor who,Q4656790,5,6
Q3113510,maria takagi,P172,ethnic group,False,what is maria takagi ethnicity,Q161652,2,3
Q185846,chris noonan,R58,screenwriter,True,what one film that chris noonan wrote,Q720724,4,5
Q16146261,james adams,P106,occupation,False,what is james adams occupation,Q82955,2,3
Q3814935,khalil allawi,P413,position played on team / speciality,False,which position does khalil allawi play,Q336286,3,4
Q7608322,stephanie lawrence,P19,place of birth,False,Where was stephanie lawrence born,Q1541751,2,3
Q7185578,phill wilson,P19,place of birth,False,in which city was phill wilson born,Q1297,4,5
Q1399967,theme park world,P123,publisher,False,who published theme park world,Q173941,2,4
Q7770034,the treasure seekers,P495,country of origin,False,Where is the film the treasure seekers from,Q145,2,6
Q7232362,portraits in moonlight,P136,genre,False,What genre is the book portraits in moonlight,Q49084,5,7
Q2241186,steve scheffler,P413,position played on team / speciality,False,What position did steve scheffler play,Q222052,3,4
Q4850077,balaraju katha,P57,director,False,who directed balaraju katha,Q4857745,2,3
Q719766,ted joans,P20,place of death,False,Where did ted joans die,Q24639,2,3
Q1043600,carmen,P264,record label,False,What label did carmen record with,Q165745,3,3
Q584226,underclass hero,P136,genre,False,Which genre of music is on the album titled underclass hero,Q487914,9,10
Q6024866,indila,P19,place of birth,False,Where was indila born,Q90,2,2
Q7642979,super æ,P175,performer,False,Who made the album super ae,Q1328096,4,5
Q336286,defender,R413,position played on team / speciality,True,whos someone who plays defender on a football team,Q5082235,4,4
Q745238,paul sorensen,P20,place of death,False,what is paul sorensen place of birth,Q3400992,2,3
Q201330,goalkeeper,R413,position played on team / speciality,True,Name a goalkeeper.,Q2554583,2,2
Q3711,belgrade,R19,place of birth,True,name a person who was born in belgrade.,Q4848925,7,7
Q6210897,joe leeway,P264,record label,False,what company has joe leeway signed with,Q664167,3,4
Q108597,dave brubeck,P136,genre,False,what type of must does dave brubeck play,Q1548603,5,6
Q11817500,piotr grabowski,P19,place of birth,False,Where was piotr grabowski born,Q1792,2,3
Q11792043,niki sullivan,P1303,instrument,False,what instrument did niki sullivan play,Q6607,3,4
Q6502807,lavoura arcaica,P495,country of origin,False,what country is lavoura arcaica,Q155,3,4
Q845102,rumble fish,P144,based on,False,What did rumble fish adapt from,Q7379171,2,3
Q497871,clarendon county,R131,located in the administrative territorial entity,True,What town is located in clarendon county,Q3306731,5,6
Q11399,rock music,R136,genre,True,what was Suzi Quatro sixth rock music album,Q4041274,5,6
Q5692662,heartbreak,P175,performer,False,Who recorded the album heartbreak,Q1329167,4,4
Q3067976,miki 1,P136,genre,False,is miki 1 j-pop or k-pop,Q131578,1,2
Q639301,yello,R175,performer,True,What is the name of an album from yello,Q3058738,8,8
Q147739,izmail,R19,place of birth,True,what is the name of someone born in izmail,Q1791545,8,8
Q1579557,hans freudenberg,P21,sex or gender,False,what sex is hans freudenberg,Q6581097,3,4
Q20921,daejeon,R19,place of birth,True,Who was born in daejeon,Q199209,4,4
Q358052,adler planetarium,P112,founded by,False,who was the founder of adler planetarium,Q6794525,5,6
Q15971215,arthur george hammond,P19,place of birth,False,where was arthur george hammond born,Q1248368,2,4
Q865498,powerpuff girls z,P136,genre,False,powerpuff girls z is what type of tv show,Q752321,0,2
Q625552,francis lister,P21,sex or gender,False,what is the sex of francis lister,Q6581097,5,6
Q6513474,lee dong-sik,P413,position played on team / speciality,False,What soccer position does lee dong-sik hold,Q336286,4,5
Q251098,the donna summer anthology,P175,performer,False,who is the artist of the donna summer anthology,Q908933,2,8
Q887973,bob haney,R170,creator,True,What characters has bob haney created,Q2426182,3,4
